contentsid;label;contentscd;title;regioncd_value;regioncd_label;region1cd_value;region1cd_label;region2cd_value;region2cd_label;tag
CNTS_000000000021167;관광지;c1;현사포구;1;북부;region1;제주시;11;제주시내;커플,친구,일몰,밤,올레,자전거,낚시
CNTS_300000000012905;테마여행;c6;취향 가득한 공간에서 먹는 커피 한잔 <이왕이면 다홍치마, 제주 이색 카페>;1;북부;region1;제주시;11;제주시내;앵무새,이색카페,가드닝,부케,유리온실,명도암,봉개동,복고,레트로,카페투어
CNTS_000000000021530;관광지;c1;사계항;4;남부;region2;서귀포시;23;안덕;문화유적지,맑음,역사유적,공용주차장
CNTS_200000000009119;숙박;c3;대물민박;1;북부;region3;섬 속의 섬;32;추자도;추자민박,추자해수욕장,추자도,공용주차장,화장실,무료WIFI,편의점,흡연구역,카드결제,현금결제,아주어려움,없음,동반가능,유료제공,흡연구역제공,식음료장,세탁서비스,없음,운행
CNTS_200000000009274;숙박;c3;우연히 행복해지다 펜션;3;서부;region1;제주시;13;한림;커플,친구,아이,펜션,복층,금능해변,금능해수욕장,숙소,가족,편의점
CNTS_000000000019113;관광지;c1;상추자항;1;북부;region1;제주시;11;제주시내;혼자,친구,맑음,추자도
CNTS_300000000016071;관광지;c1;제주프리다이빙스쿨;4;남부;region2;서귀포시;21;서귀포시내;레져,체험,프리다이빙,입문코스.AIDA,러닝홀리데이인제주
CNTS_200000000007202;쇼핑;c2;바이제주;1;북부;region1;제주시;11;제주시내;쇼핑,기념품,화장실,무료WIFI,공용주차장
CNTS_200000000007493;관광지;c1;이로이로공방;2;동부;region1;제주시;16;구좌;친구,혼자,휴식/힐링,체험관광,원데이클래스,프랑스자수,캘리그라피,체험,어트랙션,현금결제,카드결제,화장실,카드결제,현금결제,실내,체험,프랑스자수원데이클래스,2~3시간
CNTS_200000000007862;테마여행;c6;주민 해설사가 직접 말하는 ‘마라도’ <아름다운 섬 마라도에서 외치는 버리지 마라도!>;2;동부;region1;제주시;16;구좌;혼자,친구,경관/포토,휴식/치유,부속섬
CONT_000000000500789;숙박;c3;제주공항 고추잠자리 게스트하우스;1;북부;region1;제주시;11;제주시내;휴식,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,음료대,유도및안내시설,경보및피난시설,아주어려움
